Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments
Spring ,01/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1110.8,1.9%,21,1.39,29,1,51.84,45,4,3
Spring ,02/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1296.6,1.1%,14,0.72,10,2,40.32,14,17,11
Spring ,03/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1264.4,1.3%,17,0.38,6,4,53.76,24,1,8
Spring ,04/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,837.8,1.6%,13,0.58,8,3,25.92,59,10,6
Spring ,05/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1599,1.4%,23,0.83,19,2,108.19,44,17,2
Spring ,06/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,893.6,1.9%,17,0.31,5,4,20.16,57,3,3
Spring ,07/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1540.8,1.5%,23,1.53,35,0,14.40,44,0,3
Spring ,08/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,994.8,1.4%,14,0.30,4,0,23.04,9,9,6
Spring ,09/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1336.6,1.2%,16,0.17,3,2,13.44,33,12,0
Spring ,10/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1001.8,1.4%,14,0.53,7,4,0.00,9,17,0
Spring ,11/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1141.2,1.2%,13,0.89,12,4,58.46,37,4,9
Spring ,12/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1304.2,1.5%,19,1.16,23,4,21.12,29,6,11
Spring ,13/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,878.4,1.0%,9,0.29,3,5,162.62,20,2,9
Spring ,14/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1211.8,1.3%,16,1.35,22,5,129.70,39,13,6
Spring ,15/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,962.2,1.5%,15,0.38,6,6,115.58,9,6,2
Spring ,16/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1254,1.9%,24,0.78,19,2,21.12,29,17,8
Spring ,17/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1261.4,1.6%,21,0.25,5,2,68.54,43,4,3
Spring ,18/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1591.4,1.7%,27,1.07,29,1,24.96,36,3,6
Spring ,19/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,823.8,1.3%,11,1.18,13,1,61.82,16,7,3
Spring ,20/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1318.4,1.2%,16,0.98,16,3,26.88,22,17,3
Spring ,21/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1669.6,1.2%,20,0.33,7,5,15.36,20,18,12
Spring ,22/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1417,1.8%,25,1.39,35,3,23.04,28,17,11
Spring ,23/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1290.4,1.3%,17,0.10,2,2,58.46,20,2,3
Spring ,24/03/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1336.6,1.1%,14,0.16,2,5,49.92,49,2,3
